Trial name	epochs	loss	max accuracy	test accuracy	val accuracy
train_model_raytune_056a6_00291	9	5.91747	0.741063	0.750738	0.741063
train_model_raytune_056a6_00292	9	5.99317	0.7387	0.744252	0.735823
train_model_raytune_056a6_00293	9	6.1271	0.732746	0.733434	0.732746
train_model_raytune_056a6_00294	9	5.80712	0.746761	0.75066	0.746761
train_model_raytune_056a6_00295	9	5.87825	0.744303	0.744737	0.744303
train_model_raytune_056a6_00296	29	5.2543	0.771954	0.784286	0.771877
train_model_raytune_056a6_00297	29	5.22788	0.772941	0.777131	0.772941
train_model_raytune_056a6_00298	19	5.55193	0.763854	0.770418	0.761383
train_model_raytune_056a6_00299	9	5.72379	0.754872	0.764065	0.751443
train_model_raytune_056a6_00300	19	5.44967	0.768202	0.775112	0.766465
train_model_raytune_056a6_00301	9	5.84476	0.747597	0.754827	0.747597
train_model_raytune_056a6_00302	9	6.15342	0.733873	0.731403	0.732429
train_model_raytune_056a6_00303	19	5.45155	0.761742	0.765645	0.761742
train_model_raytune_056a6_00304	9	5.82166	0.746765	0.748028	0.746765
train_model_raytune_056a6_00305	29	5.24521	0.773726	0.7799	0.773599
train_model_raytune_056a6_00306	29	5.21272	0.775808	0.775962	0.775808
train_model_raytune_056a6_00307	9	11.6836	0.445029	0.444302	0.445029
train_model_raytune_056a6_00308	29	5.06736	0.783062	0.790787	0.783062
train_model_raytune_056a6_00309	29	5.32189	0.773321	0.789015	0.77156
train_model_raytune_056a6_00310	19	5.4064	0.765947	0.786445	0.764202
train_model_raytune_056a6_00311	9	5.7864	0.749316	0.770187	0.74903
train_model_raytune_056a6_00312	9	5.86777	0.744089	0.749749	0.744089
train_model_raytune_056a6_00313	19	5.45541	0.764928	0.768055	0.76469
train_model_raytune_056a6_00314	9	9.97296	0.441874	0.444057	0.441532
train_model_raytune_056a6_00315	9	12.5055	0.432768	0.43111	0.429994
train_model_raytune_056a6_00316	9	5.76178	0.747873	0.752407	0.747873
train_model_raytune_056a6_00317	9	5.71189	0.752698	0.755166	0.752698
train_model_raytune_056a6_00318	19	5.4166	0.766158	0.78667	0.765534
train_model_raytune_056a6_00319	9	5.83979	0.742537	0.752532	0.742537
train_model_raytune_056a6_00320	29	5.2496	0.772398	0.776136	0.772018
train_model_raytune_056a6_00321	29	5.19228	0.773813	0.775681	0.773813
train_model_raytune_056a6_00322	9	6.11493	0.736316	0.73998	0.736316
